evidence_id,event_id,evidence_tier,reference,verse_text_kr,translation,is_parallel,note
EVD0000035,EVT0003,direct,창세기 7:11,노아가 육백 세 되던 해 둘째 달 곧 그 달 열이렛날이라 그 날에 큰 깊음의 샘들이 터지며 하늘의 창문들이 열려,개역개정,false,
EVD0000036,EVT0003,direct,창세기 7:12,사십 주야를 비가 땅에 쏟아졌더라,개역개정,false,
EVD0000037,EVT0003,direct,창세기 7:13,"곧 그 날에 노아와 그의 아들 셈, 함, 야벳과 노아의 아내와 세 며느리가 다 방주로 들어갔고",개역개정,false,
EVD0000038,EVT0003,direct,창세기 7:14,"그들과 모든 들짐승이 그 종류대로, 모든 가축이 그 종류대로, 땅에 기는 모든 것이 그 종류대로, 모든 새가 그 종류대로",개역개정,false,
EVD0000039,EVT0003,direct,창세기 7:15,무릇 생명의 기운이 있는 육체가 둘씩 노아에게 나아와 방주로 들어갔으니,개역개정,false,
EVD0000040,EVT0003,direct,창세기 7:16,들어간 것들은 모든 것의 암수라 하나님이 그에게 명하신 대로 들어가매 여호와께서 그를 들여보내고 문을 닫으시니라,개역개정,false,
EVD0000041,EVT0003,direct,창세기 7:17,홍수가 땅에 사십 일 동안 계속된지라 물이 많아져 방주가 땅에서 떠올랐고,개역개정,false,
EVD0000042,EVT0003,direct,창세기 7:18,물이 더 많아져 땅에 넘치매 방주가 물 위에 떠 다녔으며,개역개정,false,
EVD0000043,EVT0003,direct,창세기 7:19,물이 땅에 더욱 넘치매 천하의 높은 산이 다 잠겼더니,개역개정,false,
EVD0000044,EVT0003,direct,창세기 7:20,물이 불어서 십오 규빗이나 오르니 산들이 잠긴지라,개역개정,false,
EVD0000045,EVT0003,direct,창세기 7:21,땅 위에 움직이는 생물이 다 죽었으니 곧 새와 가축과 들짐승과 땅에 기는 모든 것과 모든 사람이라,개역개정,false,
EVD0000046,EVT0003,direct,창세기 7:22,육지에 있어 그 코에 생명의 기운의 숨이 있는 것은 다 죽었더라,개역개정,false,
EVD0000047,EVT0003,direct,창세기 7:23,지면의 모든 생물을 쓸어버리시니 곧 사람과 가축과 기는 것과 공중의 새까지라 이들은 땅에서 쓸어버림을 당하였으되 오직 노아와 그와 함께 방주에 있던 자들만 남았더라,개역개정,false,
EVD0000048,EVT0003,direct,창세기 7:24,물이 백오십 일을 땅에 넘쳤더라,개역개정,false,
EVD0000049,EVT0004,direct,창세기 10:1,노아의 아들 셈과 함과 야벳의 족보는 이러하니라 홍수 후에 그들이 아들들을 낳았으니,개역개정,false,
EVD0000050,EVT0004,direct,창세기 10:2,야벳의 아들은 고멜과 마곡과 마대와 야완과 두발과 메섹과 디라스요,개역개정,false,
EVD0000051,EVT0004,direct,창세기 10:3,고멜의 아들은 아스그나스와 리밧과 도갈마요,개역개정,false,
EVD0000052,EVT0004,direct,창세기 10:4,야완의 아들은 엘리사와 달시스와 깃딤과 도다님이라,개역개정,false,
EVD0000053,EVT0004,direct,창세기 10:5,이들로부터 여러 나라 백성으로 나뉘어서 각기 언어와 종족과 나라대로 바닷가의 땅에 머물렀더라,개역개정,false,
EVD0000054,EVT0004,direct,창세기 10:6,함의 아들은 구스와 미스라임과 붓과 가나안이요,개역개정,false,
EVD0000055,EVT0004,direct,창세기 10:7,구스의 아들은 스바와 하윌라와 삽다와 라아마와 삽드가요 라아마의 아들은 스바와 드단이며,개역개정,false,
EVD0000056,EVT0004,direct,창세기 10:8,구스가 또 니므롯을 낳았으니 그는 세상에 첫 용사라,개역개정,false,
EVD0000057,EVT0004,direct,창세기 10:9,그가 여호와 앞에서 용감한 사냥꾼이 되었으므로 속담에 이르기를 아무는 여호와 앞에 니므롯 같이 용감한 사냥꾼이로다 하더라,개역개정,false,
EVD0000058,EVT0004,direct,창세기 10:10,그의 나라는 시날 땅의 바벨과 에렉과 악갓과 갈레에서 시작되었으며,개역개정,false,
EVD0000059,EVT0004,direct,창세기 10:11,그가 그 땅에서 앗수르로 나아가 니느웨와 르호보딜과 갈라와,개역개정,false,
EVD0000060,EVT0004,direct,창세기 10:12,및 니느웨와 갈라 사이의 레센을 건설하였으니 이는 큰 성읍이라,개역개정,false,
EVD0000061,EVT0004,direct,창세기 10:13,미스라임은 루딤과 아나밈과 르하빔과 납두힘과,개역개정,false,
EVD0000062,EVT0004,direct,창세기 10:14,바드루심과 가슬루힘과 갑도림을 낳았더라 (가슬루힘에게서 블레셋이 나왔더라),개역개정,false,
EVD0000063,EVT0004,direct,창세기 10:15,가나안은 장자 시돈과 헷을 낳고,개역개정,false,
EVD0000064,EVT0004,direct,창세기 10:16,또 여부스 족속과 아모리 족속과 기르가스 족속과,개역개정,false,
EVD0000065,EVT0004,direct,창세기 10:17,히위 족속과 알가 족속과 신 족속과,개역개정,false,
EVD0000066,EVT0004,direct,창세기 10:18,아르왓 족속과 스말 족속과 하맛 족속을 낳았더니 이 후로 가나안 자손의 족속이 흩어져 나아갔더라,개역개정,false,
EVD0000067,EVT0004,direct,창세기 10:19,가나안의 경계는 시돈에서부터 그랄을 지나 가사까지와 소돔과 고모라와 아드마와 스보임을 지나 라사까지였더라,개역개정,false,
EVD0000068,EVT0004,direct,창세기 10:20,이들은 함의 자손이라 각기 족속과 언어와 지방과 나라대로였더라,개역개정,false,
EVD0000069,EVT0004,direct,창세기 10:21,셈은 에벨 온 자손의 조상이요 야벳의 형이라 그에게도 자녀가 출생하였으니,개역개정,false,
EVD0000070,EVT0004,direct,창세기 10:22,셈의 아들은 엘람과 앗수르와 아르박삿과 룻과 아람이요,개역개정,false,
EVD0000071,EVT0004,direct,창세기 10:23,아람의 아들은 우스와 훌과 게델과 마스며,개역개정,false,
EVD0000072,EVT0004,direct,창세기 10:24,아르박삿은 셀라를 낳고 셀라는 에벨을 낳았으며,개역개정,false,
EVD0000073,EVT0004,direct,창세기 10:25,에벨은 두 아들을 낳고 하나의 이름을 벨렉이라 하였으니 그 때에 세상이 나뉘었음이요 벨렉의 아우의 이름은 욕단이며,개역개정,false,
EVD0000074,EVT0004,direct,창세기 10:26,욕단은 알모닷과 셀렙과 하살마?과 예라와,개역개정,false,
EVD0000075,EVT0004,direct,창세기 10:27,하도람과 우살과 디글라와,개역개정,false,
EVD0000076,EVT0004,direct,창세기 10:28,오발과 아비마엘과 스바와,개역개정,false,
EVD0000077,EVT0004,direct,창세기 10:29,오빌과 하윌라와 요밥을 낳았으니 이들은 다 욕단의 아들이며,개역개정,false,
EVD0000078,EVT0004,direct,창세기 10:30,그들이 거주하는 곳은 메사에서부터 스발로 가는 길의 동쪽 산이었더라,개역개정,false,
EVD0000079,EVT0004,direct,창세기 10:31,이들은 셈의 자손이니 그 족속과 언어와 지방과 나라대로였더라,개역개정,false,
EVD0000080,EVT0004,direct,창세기 10:32,이들은 그 백성들의 족보에 따르면 노아 자손의 족속들이요 홍수 후에 이들에게서 그 땅의 백성들이 나뉘었더라,개역개정,false,
EVD0000081,EVT0005,direct,창세기 12:1,여호와께서 아브람에게 이르시되 너는 너의 고향과 친척과 아버지의 집을 떠나 내가 네게 보여 줄 땅으로 가라,개역개정,false,
EVD0000082,EVT0005,direct,창세기 12:2,내가 너로 큰 민족을 이루고 네게 복을 주어 네 이름을 창대하게 하리니 너는 복이 될지라,개역개정,false,
EVD0000083,EVT0005,direct,창세기 12:3,너를 축복하는 자에게는 내가 복을 내리고 너를 저주하는 자에게는 내가 저주하리니 땅의 모든 족속이 너로 말미암아 복을 얻을 것이라 하신지라,개역개정,false,
EVD0000084,EVT0005,direct,창세기 12:4,이에 아브람이 여호와의 말씀을 따라갔고 롯도 그와 함께 갔으며 아브람이 하란을 떠날 때에 칠십오 세였더라,개역개정,false,
EVD0000085,EVT0005,direct,창세기 12:5,아브람이 그의 아내 사래와 조카 롯과 하란에서 모은 모든 소유와 얻은 사람들을 이끌고 가나안 땅으로 가려고 떠나서 마침내 가나안 땅에 들어갔더라,개역개정,false,
EVD0000086,EVT0005,direct,창세기 12:6,아브람이 그 땅을 지나 세겜 땅 모레 상수리나무에 이르니 그 때에 가나안 사람이 그 땅에 거주하였더라,개역개정,false,
EVD0000087,EVT0005,direct,창세기 12:7,여호와께서 아브람에게 나타나 이르시되 내가 이 땅을 네 자손에게 주리라 하신지라 자기에게 나타나신 여호와께 그가 그 곳에서 제단을 쌓고,개역개정,false,
EVD0000088,EVT0005,direct,창세기 12:8,거기서 벧엘 동쪽 산으로 옮겨 장막을 치니 서쪽은 벧엘이요 동쪽은 아이라 그가 그 곳에서 여호와께 제단을 쌓고 여호와의 이름을 부르더니,개역개정,false,
EVD0000089,EVT0005,direct,창세기 12:9,점점 남방으로 옮겨갔더라,개역개정,false,
EVD0000090,EVT0006,direct,창세기 14:17,아브람이 그돌라오멜과 그와 함께 한 왕들을 쳐부수고 돌아올 때에 소돔 왕이 사웨 골짜기 곧 왕의 골짜기로 나와 그를 영접하였고,개역개정,false,
EVD0000091,EVT0006,direct,창세기 14:18,살렘 왕 멜기세덱이 떡과 포도주를 가지고 나왔으니 그는 지극히 높으신 하나님의 제사장이었더라,개역개정,false,
EVD0000092,EVT0006,direct,창세기 14:19,그가 아브람에게 축복하여 이르되 천지의 주재이시요 지극히 높으신 하나님이여 아브람에게 복을 주옵소서,개역개정,false,
EVD0000093,EVT0006,direct,창세기 14:20,너희 대적을 네 손에 붙이신 지극히 높으신 하나님을 찬송할지로다 하매 아브람이 그 얻은 것에서 십분의 일을 멜기세덱에게 주었더라,개역개정,false,
EVD0000094,EVT0006,direct,창세기 14:21,소돔 왕이 아브람에게 이르되 사람은 내게 보내고 물품은 네가 가지라,개역개정,false,
EVD0000095,EVT0006,direct,창세기 14:22,아브람이 소돔 왕에게 이르되 천지의 주재이시요 지극히 높으신 하나님 여호와께 내가 손을 들어 맹세하노니,개역개정,false,
EVD0000096,EVT0006,direct,창세기 14:23,네 말이 내가 아브람으로 치부하게 하였다 할까 하여 네게 속한 것은 실 한 오라기나 들메끈 한 가닥도 내가 가지지 아니하리라,개역개정,false,
EVD0000097,EVT0006,direct,창세기 14:24,오직 젊은이들이 먹은 것과 나와 동행한 아넬과 에스골과 마므레의 분깃을 제할지니 그들이 그 분깃을 가질 것이니라,개역개정,false,
EVD0000098,EVT0007,direct,창세기 18:1,여호와께서 마므레의 상수리나무들이 있는 곳에서 아브라함에게 나타나시니라 날이 뜨거울 때에 그가 장막 문에 앉아 있다가,개역개정,false,
EVD0000099,EVT0007,direct,창세기 18:2,눈을 들어 본즉 사람 셋이 맞은편에 서 있는지라 그가 그들을 보자 곧 장막 문에서 달려나가 영접하며 몸을 땅에 굽혀,개역개정,false,
EVD0000100,EVT0007,direct,창세기 18:3,이르되 내 주여 내가 주께 은혜를 입었사오면 원하건대 종을 떠나 지나가지 마시옵고,개역개정,false,
EVD0000101,EVT0007,direct,창세기 18:4,물을 조금 가져오게 하사 당신들의 발을 씻으시고 나무 아래에서 쉬소서,개역개정,false,
EVD0000102,EVT0007,direct,창세기 18:5,내가 떡을 조금 가져오리니 당신들의 마음을 상쾌하게 하신 후에 지나가소서 당신들이 종에게 오셨음이니이다 그들이 이르되 네 말대로 그리하라,개역개정,false,
EVD0000103,EVT0007,direct,창세기 18:6,아브라함이 급히 장막으로 가서 사라에게 이르되 속히 고운 가루 세 스아를 가져다가 반죽하여 떡을 만들라 하고,개역개정,false,
EVD0000104,EVT0007,direct,창세기 18:7,아브라함이 또 가축 떼 있는 곳으로 달려가서 기름지고 좋은 송아지를 잡아 하인에게 주니 그가 급히 요리한지라,개역개정,false,
EVD0000105,EVT0007,direct,창세기 18:8,아브라함이 엉긴 젖과 우유와 하인이 요리한 송아지를 가져다가 그들 앞에 차려 놓고 나무 아래에 모셔 서매 그들이 먹으니라,개역개정,false,
EVD0000106,EVT0007,direct,창세기 18:9,그들이 아브라함에게 이르되 네 아내 사라가 어디 있느냐 대답하되 장막에 있나이다,개역개정,false,
EVD0000107,EVT0007,direct,창세기 18:10,그가 이르시되 내년 이맘때 내가 반드시 네게로 돌아오리니 네 아내 사라에게 아들이 있으리라 하시니 사라가 그 뒤 장막 문에서 들었더라,개역개정,false,
EVD0000108,EVT0007,direct,창세기 18:11,아브라함과 사라는 나이가 많아 늙었고 사라에게는 여성의 생리가 끊어졌는지라,개역개정,false,
EVD0000109,EVT0007,direct,창세기 18:12,사라가 속으로 웃고 이르되 내가 노쇠하였고 내 주인도 늙었으니 내게 무슨 즐거움이 있으리요,개역개정,false,
EVD0000110,EVT0007,direct,창세기 18:13,여호와께서 아브라함에게 이르시되 사라가 왜 웃으며 이르기를 내가 늙었거늘 어떻게 아들을 낳으리요 하느냐,개역개정,false,
EVD0000111,EVT0007,direct,창세기 18:14,여호와께 능하지 못한 일이 있겠느냐 기한이 이를 때에 내가 네게로 돌아오리니 사라에게 아들이 있으리라,개역개정,false,
EVD0000112,EVT0007,direct,창세기 18:15,사라가 두려워서 부인하여 이르되 내가 웃지 아니하였나이다 이르시되 아니라 네가 웃었느니라,개역개정,false,
EVD0000113,EVT0008,direct,창세기 19:30,롯이 소알에 거주하기를 두려워하여 두 딸과 함께 소알에서 나와 산에 올라가 거주하되 그 두 딸과 함께 굴에 거주하였더니,개역개정,false,
EVD0000114,EVT0008,direct,창세기 19:31,큰 딸이 작은 딸에게 이르되 우리 아버지는 늙으셨고 온 세상의 도리를 따라 우리의 배필 될 사람이 이 땅에는 없으니,개역개정,false,
EVD0000115,EVT0008,direct,창세기 19:32,우리가 우리 아버지에게 술을 마시게 하고 동침하여 우리 아버지로 말미암아 후손을 이어가자 하고,개역개정,false,
EVD0000116,EVT0008,direct,창세기 19:33,그 밤에 그들이 아버지에게 술을 마시게 하고 큰 딸이 들어가서 그 아버지와 동침하니라 그러나 그 아버지는 그 딸이 눕고 일어나는 것을 깨닫지 못하였더라,개역개정,false,
EVD0000117,EVT0008,direct,창세기 19:34,이튿날 큰 딸이 작은 딸에게 이르되 어제 밤에는 내가 우리 아버지와 동침하였으니 오늘 밤에도 우리가 아버지에게 술을 마시게 하고 네가 들어가 동침하고 우리가 아버지로 말미암아 후손을 이어가자 하고,개역개정,false,
EVD0000118,EVT0008,direct,창세기 19:35,그 밤에도 그들이 아버지에게 술을 마시게 하고 작은 딸이 일어나 아버지와 동침하니라 그러나 아버지는 그 딸이 눕고 일어나는 것을 깨닫지 못하였더라,개역개정,false,
EVD0000119,EVT0008,direct,창세기 19:36,롯의 두 딸이 아버지로 말미암아 임신하고,개역개정,false,
EVD0000120,EVT0008,direct,창세기 19:37,큰 딸은 아들을 낳아 이름을 모압이라 하였으니 오늘날 모압의 조상이요,개역개정,false,
EVD0000121,EVT0008,direct,창세기 19:38,작은 딸도 아들을 낳아 이름을 벤암미라 하였으니 오늘날 암몬 자손의 조상이었더라,개역개정,false,
EVD0000122,EVT0009,direct,창세기 21:22,그 때에 아비멜렉과 그 군대 장관 비골이 아브라함에게 말하여 이르되 네가 무슨 일을 하든지 하나님이 너와 함께 계시도다,개역개정,false,
EVD0000123,EVT0009,direct,창세기 21:23,그런즉 너는 나와 내 아들과 내 손자에게 거짓되이 행하지 아니하기를 이제 여기서 하나님을 가리켜 내게 맹세하라 내가 네게 후대한 대로 너도 나와 네가 머무는 이 땅에서 행하여 보이라,개역개정,false,
EVD0000124,EVT0009,direct,창세기 21:24,아브라함이 이르되 내가 맹세하리라 하고,개역개정,false,
EVD0000125,EVT0009,direct,창세기 21:25,아비멜렉의 종들이 아브라함의 우물을 빼앗은 일에 관하여 아브라함이 아비멜렉을 책망하매,개역개정,false,
EVD0000126,EVT0009,direct,창세기 21:26,아비멜렉이 이르되 누가 그리하였는지 내가 알지 못하노라 너도 내게 알리지 아니하였고 나도 듣지 못하였더니 오늘에야 들었노라,개역개정,false,
EVD0000127,EVT0009,direct,창세기 21:27,아브라함이 양과 소를 가져다가 아비멜렉에게 주고 두 사람이 서로 언약을 세우니라,개역개정,false,
EVD0000128,EVT0009,direct,창세기 21:28,아브라함이 일곱 암양 새끼를 따로 놓으니,개역개정,false,
EVD0000129,EVT0009,direct,창세기 21:29,아비멜렉이 아브라함에게 이르되 이 일곱 암양 새끼를 따로 놓음은 어찜이냐,개역개정,false,
EVD0000130,EVT0009,direct,창세기 21:30,아브라함이 이르되 너는 내 손에서 이 암양 새끼 일곱을 받아 내가 이 우물 판 증거를 삼으라 하고,개역개정,false,
EVD0000131,EVT0009,direct,창세기 21:31,두 사람이 거기서 서로 맹세하였으므로 그 곳을 브엘세바라 이름하였더라,개역개정,false,
EVD0000132,EVT0009,direct,창세기 21:32,그들이 브엘세바에서 언약을 세우매 아비멜렉과 그 군대 장관 비골은 떠나 블레셋 사람의 땅으로 돌아갔고,개역개정,false,
EVD0000133,EVT0009,direct,창세기 21:33,아브라함은 브엘세바에 에셀 나무를 심고 거기서 영원하신 여호와의 이름을 불렀으며,개역개정,false,
EVD0000134,EVT0009,direct,창세기 21:34,그가 블레셋 사람의 땅에서 여러 날을 지냈더라,개역개정,false,
EVD0000135,EVT0010,direct,창세기 25:1,아브라함이 후처를 맞이하였으니 그의 이름은 그두라라,개역개정,false,
EVD0000136,EVT0010,direct,창세기 25:2,그가 시므란과 욕산과 므단과 미디안과 이스박과 수아를 낳고,개역개정,false,
EVD0000137,EVT0010,direct,창세기 25:3,욕산은 스바와 드단을 낳았으며 드단의 자손은 앗수르 족속과 르두시 족속과 르움미 족속이며,개역개정,false,
EVD0000138,EVT0010,direct,창세기 25:4,미디안의 아들은 에바와 에벨과 하녹과 아비다와 엘다아이니 다 그두라의 자손이었더라,개역개정,false,
EVD0000139,EVT0010,direct,창세기 25:5,아브라함이 이삭에게 자기의 모든 소유를 주었고,개역개정,false,
EVD0000140,EVT0010,direct,창세기 25:6,자기 서자들에게도 재산을 주어 자기 생전에 그들로 하여금 자기 아들 이삭을 떠나 동방 곧 동쪽 땅으로 가게 하였더라,개역개정,false,
EVD0000141,EVT0010,direct,창세기 25:7,아브라함의 향년이 백칠십오 세라,개역개정,false,
EVD0000142,EVT0010,direct,창세기 25:8,그의 나이가 높고 늙어서 기운이 다하여 죽어 자기 열조에게로 돌아가매,개역개정,false,
EVD0000143,EVT0010,direct,창세기 25:9,그의 아들들인 이삭과 이스마엘이 그를 마므레 앞 헷 족속 소할의 아들 에브론의 밭에 있는 막벨라 굴에 장사하였으니,개역개정,false,
EVD0000144,EVT0010,direct,창세기 25:10,이것은 아브라함이 헷 족속에게서 산 밭이라 아브라함과 그의 아내 사라가 거기 장사되니라,개역개정,false,
EVD0000145,EVT0010,direct,창세기 25:11,아브라함이 죽은 후에 하나님이 그의 아들 이삭에게 복을 주셨고 이삭은 브엘라해로이 근처에 거주하였더라,개역개정,false,
EVD0000146,EVT0011,direct,창세기 26:1,아브라함 때에 첫 흉년이 들었더니 그 땅에 또 흉년이 들매 이삭이 그랄로 가서 블레셋 왕 아비멜렉에게 이르렀더니,개역개정,false,
EVD0000147,EVT0011,direct,창세기 26:2,여호와께서 이삭에게 나타나 이르시되 애굽으로 내려가지 말고 내가 네게 지시하는 땅에 거주하라,개역개정,false,
EVD0000148,EVT0011,direct,창세기 26:3,이 땅에 거류하면 내가 너와 함께 있어 네게 복을 주고 내가 이 모든 땅을 너와 네 자손에게 주리라 내가 네 아버지 아브라함에게 맹세한 것을 이루어,개역개정,false,
EVD0000149,EVT0011,direct,창세기 26:4,네 자손을 하늘의 별과 같이 번성하게 하며 이 모든 땅을 네 자손에게 주리니 네 자손으로 말미암아 천하 만민이 복을 받으리라,개역개정,false,
EVD0000150,EVT0011,direct,창세기 26:5,이는 아브라함이 내 말을 순종하고 내 명령과 내 계명과 내 율례와 내 법도를 지켰음이라 하시니라,개역개정,false,
EVD0000151,EVT0011,direct,창세기 26:6,이삭이 그랄에 거주하였더니,개역개정,false,
EVD0000152,EVT0011,direct,창세기 26:7,그 곳 사람들이 그의 아내에 대하여 물으매 그가 말하기를 그는 내 누이라 하였으니 리브가는 보기에 아리따우므로 그 곳 백성이 리브가로 말미암아 자기를 죽일까 하여 그는 내 아내라 하기를 두려워함이었더라,개역개정,false,
EVD0000153,EVT0011,direct,창세기 26:8,이삭이 거기 오래 거주하였더니 이삭이 그 아내 리브가를 껴안은 것을 블레셋 왕 아비멜렉이 창으로 내다본지라,개역개정,false,
EVD0000154,EVT0011,direct,창세기 26:9,이에 아비멜렉이 이삭을 불러 이르되 그가 분명히 네 아내거늘 어찌 네 누이라 하였느냐 이삭이 그에게 대답하되 내 생각에 그로 말미암아 내가 죽게 될까 두려워하였음이로라,개역개정,false,
EVD0000155,EVT0011,direct,창세기 26:10,아비멜렉이 이르되 네가 어찌 우리에게 이렇게 행하였느냐 백성 중 하나가 네 아내와 동침할 뻔하였도다 네가 죄를 우리에게 입혔으리라,개역개정,false,
EVD0000156,EVT0011,direct,창세기 26:11,아비멜렉이 이에 모든 백성에게 명하여 이르되 이 사람이나 그의 아내를 범하는 자는 죽이리라 하였더라,개역개정,false,
EVD0000157,EVT0011,direct,창세기 26:12,이삭이 그 땅에서 농사하여 그 해에 백 배나 얻었고 여호와께서 복을 주시므로,개역개정,false,
EVD0000158,EVT0011,direct,창세기 26:13,그 사람이 창대하고 왕성하여 마침내 거부가 되어,개역개정,false,
EVD0000159,EVT0011,direct,창세기 26:14,양과 소가 떼를 이루고 종이 심히 많으므로 블레셋 사람이 그를 시기하여,개역개정,false,
EVD0000160,EVT0011,direct,창세기 26:15,그 아버지 아브라함 때에 그 아버지의 종들이 판 모든 우물을 막고 흙으로 메웠더라,개역개정,false,
EVD0000161,EVT0011,direct,창세기 26:16,아비멜렉이 이삭에게 이르되 네가 우리보다 크게 강성한즉 우리를 떠나라,개역개정,false,
EVD0000162,EVT0011,direct,창세기 26:17,이삭이 그 곳을 떠나 그랄 골짜기에 장막을 치고 거기 거류하며,개역개정,false,
EVD0000163,EVT0011,direct,창세기 26:18,그 아버지 아브라함 때에 팠던 우물들을 다시 팠으니 이는 아브라함이 죽은 후에 블레셋 사람이 그 우물들을 메웠음이라 이삭이 그 우물들의 이름을 그의 아버지가 부르던 이름으로 불렀더라,개역개정,false,
